DATES;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity;WLN FP Equity
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
24/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
25/10/2010;86,79;39,35;152;39,05;25,88;64,01829094;13,35;52,84;45,67;37,335;34,03459888;34,81;19,8580248;47,36;104,542332;60,26;107,2856637;21,45999393;36,635;43,19;21,84;29;23,01;202,85;28,085;16,695;55,22184097;32,345;37,405;20,84;49,87;43,475;50,875;18,09;27,465;11,91;25,89152102;65,35;5,91;#N/A
26/10/2010;86,55;39,015;153,05;39,125;25,885;63,33972233;13,36;52,6;45,63;37,03;33,93413741;34,46;19,7322186;48,105;101,2528535;59,24;107,6516702;21,18930783;36,335;41,91;21,705;29,115;23,01;179;28,3;16,785;52,48502711;32,29;37,36;20,85;49,685;43,9;50,8;18,255;27,45;11,95;26,01629033;65;5,908;#N/A
27/10/2010;85,25;38,61;152,05;38,6;25,955;62,16885886;13,15;52,65;44,94;36,395;33,71574291;33,97;19,4902836;48,125;100,8923627;57,79;107,697421;20,75621007;36,13;40,62;22,1;29,025;22,96;162,95;27,805;16,68;51,97739228;31,725;37,295;20,825;49,53;43,27;50,55;18,385;27,37;11,81;25,55880288;63,98;6,14;#N/A
28/10/2010;85,56;38,75;151,1;39,06;27,94;61,98258513;13,2;52,78;45,07;36,78;33,95597686;34,07;19,7031864;48,01;101,2528535;57,66;108,4751849;20,72372774;36,14;39,57;22,325;29,05;22,955;160,45;28,25;17,2;51,33733097;31,89;36,57;21,01;49,7;43,365;50,825;18,61;27,56;11,92;25,37732026;63,9;6,329;#N/A
29/10/2010;84,36;38,38;149,7;39,045;27,555;61,82957456;13,08;52,55;45,475;36,655;33,87735484;33,56;19,8338313;47,98;101,4781602;57,15;107,7889227;20,64432648;35,79;39,925;22,78;29,295;22,66;152,45;28,68;17,265;50,97315816;31,665;36,26;21,105;50,18;43,025;51;18,885;27,74;11,775;25,12400076;63,71;6,284;#N/A
30/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
31/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
