DATES;OR FP Equity;DG FP Equity;ASML NA Equity;SAN SQ Equity;PHIA NA Equity;FP FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;KER FP Equity;AMS SQ Equity;SAF FP Equity;AD NA Equity;IBE SQ Equity;UNA NA Equity;INGA NA Equity;LIN GY Equity;PRX NA Equity;ITX SQ Equity;KNEBV FH Equity;ISP IM Equity;ENI IM Equity;ENGI FP Equity;ABI BB Equity;ADYEN NA Equity;SAN FP Equity;ENEL IM Equity;NOKIA FH Equity;SU FP Equity;ALV GY Equity;AIR FP Equity;BAYN GY Equity;BMW GY Equity;CRH ID Equity;BAS GY Equity;SIE GY Equity;VOW3 GY Equity;MUV2 GY Equity;SAP GY Equity;RI FP Equity;ADS GY Equity;DTE GY Equity;DPW GY Equity;DAI GY Equity;DB1 GY Equity;VNA GY Equity
03/11/2010;84,63;38,22;23,855;8,54710164;21,58710556;39,575;62,08237463;13,07;52,45;45,545;48,005;19,403187;104,542332;107,6059194;14,48;23,48;11,42523951;5,99;21,36;7,688;#N/A;#N/A;11,692;19,22;2,302490245;16,21;28,095;43,45;#N/A;49,99;4,075;7,49;51,275;89,76;19,025;53,72174605;51,64;13,05;54,09;71,7734048;106,75;112;36,93;64,19;48,095;10,45;13,22;48,34;49,155;#N/A
04/11/2010;86,46;39,345;24,245;8,584476768;22,10656826;40,62;63,39959603;13,44;54,37;46,315;47,835;19,7080251;107,4262584;107,7431719;14,56;23,1;11,34006243;5,988;22,58;7,856;#N/A;#N/A;11,682;19,685;2,337660666;16,49;28,64;44,05;#N/A;50,79;4,1275;7,57;52,7;91,88;18,255;54,6960001;54,08;13,645;56,15;73,17677089;107,8;114,85;37,075;64,23;46,5;10,27;13,39;50;50,26;#N/A
05/11/2010;86,1;39,475;24,265;8,360226;22,21928187;40,585;63,91850144;13,72;53,8;46,4;48,085;19,7709282;107,3361357;106,8739064;14,17;23,16;11,18352076;5,915;22,55;7,916;#N/A;#N/A;11,438;19,825;2,267319823;16,41;28,71;43,58;#N/A;51;4,09;7,645;52,875;92,7;18,4;54,90266005;54,06;13,53;57,17;73,58900968;107,65;114,7;37,31;63,05;46,3;10,215;13,315;48,94;50,33;#N/A
06/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
07/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
08/11/2010;85,79;39,55;24,06;8,35039044;22,26338719;40,455;63,46612237;13,575;54,3;46,47;47,97;19,7515734;107,0207063;105,3641294;14,34;22,99;11,1651041;5,87;22,535;7,894;#N/A;#N/A;11,4;19,87;2,311869024;16,37;28,705;43,61;#N/A;51,03;4,0625;7,63;52,85;92,76;18,52;54,8140915;53,41;13,85;56,75;74,64153426;108,85;115,25;37,28;63,14;47,025;10,125;13,25;48,935;50,4;#N/A
09/11/2010;86,21;39,79;24,61;8,5077594;22,35159784;41,125;63,35968023;13,765;54,81;47,155;47,975;20,0902824;106,0744179;105,730136;14,5;22,7;11,10755201;5,936;22,585;7,966;#N/A;#N/A;11,4;20,06;2,335315971;16,64;28,87;44;#N/A;51,19;4,0975;7,78;52,5;92,46;18,555;55,07979715;54,91;14,465;57,41;74,5362818;111,45;113,3;37,39;63,3;48,515;10,22;13,795;50,04;49,85;#N/A
10/11/2010;85,89;39,865;23,925;8,257936176;22,09186649;40,75;62,46822736;13,4;53,5;46,58;48,12;20,0031858;105,2633136;104,6321164;14,52;22,565;11,27445305;5,885;22,2;8,158;#N/A;#N/A;11,174;20,055;2,213391844;16,46;27,69;43,715;#N/A;50,47;4,07;7,76;51,625;90,14;19,095;54,518863;53,75;13,66;56,09;72,93995286;108,65;112,55;37,04;62,73;48,5;10,19;13,685;49,175;48,5;#N/A
11/11/2010;86,1;39,81;23,5;8,22252816;21,88114105;40,835;62,46157473;13,255;52,67;46,6;48,04;19,9015731;106,209602;103,0308378;14,34;22,39;11,27330201;5,797;22,34;7,936;#N/A;#N/A;11,33;19,995;2,182910812;16,37;27,22;43,25;#N/A;50;4,055;7,68;51,95;89,09;19,005;53,8693603;54,42;13,3;56,63;74,85203917;110,6;111,9;36,93;63,21;49,45;10,165;13,555;49,56;48,62;#N/A
12/11/2010;85,33;39,585;23,62;8,385798456;21,87133987;39,47;61,48363762;13,24;52,98;46,125;48;19,548348;104,6324547;105,5928835;14,46;22,28;11,25833847;5,825;21,795;7,891;#N/A;#N/A;11,352;19,615;2,192289591;16,18;27,025;43;#N/A;49,48;4,0375;7,635;51,8;89,98;18,16;53,1804938;55,29;13,05;56,12;75,43092768;114;112,4;36,74;62,7;48,85;10,11;13,905;49,88;48,245;#N/A
13/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
14/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
15/11/2010;85,94;40,195;23,73;8,533331856;22,01345702;39,77;62,21542729;13,54;53,4;46,455;47,995;19,8338313;105,308375;106,5078998;14,575;22,565;11,29056764;5,85;22,3;7,935;#N/A;#N/A;11,586;19,835;2,220425928;16,38;27,62;43,275;#N/A;49,59;4,0575;7,625;52,65;90,1;18,03;55,23725235;56,06;13,69;57,18;74,91343644;116,6;113,15;36,695;63,14;48,75;10,105;13,88;50,89;48,355;#N/A
16/11/2010;84,86;39,255;23,605;8,26678818;21,65081325;38,45;60,47243735;12,87;51,53;46,225;47,97;19,2193164;103,641105;105,226877;14,27;21,825;11,44250514;5,753;22,06;7,755;#N/A;#N/A;11,47;19,41;2,194634286;16,09;26,85;42,365;#N/A;48,665;4,0025;7,44;50,65;88,62;17,19;54,125225;54,62;13,51;54,98;73,0627474;115,5;112,1;36,2;62,53;47,61;10;13,565;49,47;47,67;#N/A
17/11/2010;85,73;39,725;23,64;8,434976256;21,797831;38,595;60,80506902;12,73;52,3;46,13;48,455;19,3741548;103,7762891;105,4556311;14,455;21,53;11,40797389;5,809;22,285;7,85;#N/A;#N/A;11,642;19,54;2,189944897;16,12;27,015;43,39;#N/A;49,5;4,035;7,54;51,55;89,71;17,32;54,5582268;54,3;13,88;55,49;73,70303318;115,9;112,6;36,255;62,65;47,24;10,03;13,75;49,27;47,37;#N/A
18/11/2010;87,19;40,475;24,12;8,544150972;22,65053392;39,02;61,92936406;12,935;53,64;46,655;48,56;19,7128638;106,344786;107,9719259;14,82;22,64;11,00395826;5,877;22,665;8,011;#N/A;#N/A;11,904;20,005;2,199323676;16,31;27,745;44,6;#N/A;50,32;4,06;7,5;54,65;91,24;17,32;55,6407313;56,3;14,76;57,26;75,22919381;119,15;113,95;36,665;64,15;47,765;10,14;13,77;50,81;48,365;#N/A
19/11/2010;87,33;40,525;24,79;8,38973268;22,44470908;38,79;61,77635349;12,835;53,28;46,98;48,14;19,8967344;107,6065038;108,2921817;14,785;23,655;10,78986452;5,877;22,815;7,937;#N/A;#N/A;12;20,085;2,159463865;16,29;27,885;44,44;#N/A;50;4,0425;7,4;55,5;91,07;17,32;56,8610091;56,67;14,835;57,4;74,98360474;122,7;113,15;36,545;64,06;48,105;10,11;13,77;50,74;48,255;#N/A
20/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
21/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
