Matrice de covariance;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity
VIE FP Equity;168.1481909;71.02449502;1.052583946;8.145653386;111.7856102;55.54470825;14.75537458;18.83489965;24.87842403;103.0425178;1.264143667;12.17856817;11.24990098;69.97659338;271.0766254;61.16621808;391.8328341;21.86795153;3.011299547;30.01848689;103.6052486;89.51778677;196.180301;414.8642083;-2.963354003;8.369162244;-8.737411087;22.7697344;17.20797822;22.44198606;15.37540477;14.05726849;35.3094159;87.21227612;45.85249626;9.415551461;51.61700441;79.06567654;17.67468925
SAN FP Equity;459.770467;121.4738398;113.5553822;17.88293731;256.5245266;160.670355;36.90466165;35.66917302;58.35084544;207.1499805;2.236410124;10.67890624;19.99016007;216.7755561;561.1004637;158.4287563;777.795653;4.604307375;62.76898679;95.6032088;224.8325618;166.5804227;427.8263693;1023.470275;-30.03379561;-1.555319248;-103.4465554;23.47263717;4.477669637;15.37540477;145.2423207;16.72070329;100.1215895;194.5973522;116.3545211;16.17322494;133.5269709;202.4763555;31.53092654
GLE FP Equity;-105.501982;11.86977314;369.3142554;33.65946077;-101.8846249;-40.93794474;26.84398401;98.85788437;7.178821809;34.52186792;36.80308595;53.50748843;4.677164659;16.22558954;-283.4816331;87.83114252;-407.8611286;18.56873294;91.27710755;170.7197157;-16.85142028;50.79341259;-170.5640253;-530.7278351;9.643979698;11.75655734;35.7848096;36.86149801;-12.18343984;14.05726849;16.72070329;108.6675305;-6.939928851;10.37858038;17.03372254;23.75363006;58.77503682;-47.1958463;-8.708724551
SU FP Equity;666.0033995;207.3524735;-243.7415612;14.44248878;439.845969;243.183721;33.79155644;28.49565815;66.27426406;297.1785183;-21.8315201;15.88301456;32.6133804;214.5070473;1121.417454;194.109503;1705.300355;33.18460181;-12.24333856;3.346395268;338.5383079;228.0485413;785.8811901;1825.245798;-26.21117084;1.413728091;-64.86010458;44.21579655;59.30639149;35.3094159;100.1215895;-6.939928851;183.0014014;280.9623695;161.15498;19.20800122;179.502361;303.4361034;76.74540464
AIR FP Equity;1514.725451;582.0756101;-95.64945616;99.8820516;1063.591526;486.6991278;111.3104764;90.36038621;234.4281592;819.0994833;-68.17303888;29.14649608;78.03992153;636.6611612;2564.321352;543.3221497;4131.901013;107.7972556;60.52827664;209.5582427;1027.933576;827.6839783;1705.477483;4184.147539;-80.19825862;21.74782426;-193.0886579;122.2885678;100.724428;87.21227612;194.5973522;10.37858038;280.9623695;966.6486195;389.2055399;52.03057462;480.6658509;848.2111859;147.2358386
LR FP Equity;761.0166895;271.8659861;-21.06004571;34.21402974;506.5312001;252.082836;55.0988074;54.65975298;102.9391775;406.0559632;-23.80673872;27.32222161;36.0572706;318.7035783;1194.137293;278.8222528;1840.239771;46.16928333;37.62926711;117.6511752;437.8708494;374.1421533;851.9859149;2030.987208;-41.46854615;10.43410856;-103.7878105;63.94266452;43.38549007;45.85249626;116.3545211;17.03372254;161.15498;389.2055399;202.1536072;27.42152996;258.307443;373.7176544;76.16477647
ACA FP Equity;71.91674188;36.49749402;61.02379333;11.42067352;42.78311613;24.2255802;12.05498954;26.41150655;13.88300954;56.86535903;4.624286749;13.97407704;6.472598058;38.08033155;100.1105674;50.10853999;162.2424801;11.52046948;19.54272033;44.25082828;53.81128828;54.11064927;73.47352212;146.0618026;-1.601642543;4.391739383;-1.925710458;16.30047204;5.45762303;9.415551461;16.17322494;23.75363006;19.20800122;52.03057462;27.42152996;8.902094099;40.04168306;37.98509949;8.198726588
ATO FP Equity;882.4190061;353.7909071;152.7321565;51.75775852;587.4409872;272.8146167;77.53991818;110.9383756;137.5041053;526.1554778;-37.13526062;61.26238266;35.941912;407.6308616;1361.307266;416.5735851;2165.213437;56.91953815;86.28151623;228.6351794;518.720071;533.4839833;984.0861174;2393.627212;-60.57188203;14.66895363;-118.7990296;91.34340238;39.71262558;51.61700441;133.5269709;58.77503682;179.502361;480.6658509;258.307443;40.04168306;422.3987781;449.4881819;96.4335438
RI FP Equity;1574.56155;541.7107162;-334.3157809;61.68668312;1093.35221;518.993313;89.88901913;35.27571004;213.9885791;775.794243;-82.64899567;1.777415828;72.7417696;611.7100181;2652.686945;483.1950963;4186.322815;88.33933279;1.727008327;101.56298;949.8407443;739.6790809;1788.690835;4408.685884;-85.35852988;13.84857122;-206.6597804;98.11975841;113.4764684;79.06567654;202.4763555;-47.1958463;303.4361034;848.2111859;373.7176544;37.98509949;449.4881819;847.257377;155.4039471
STM FP Equity;314.2911709;108.9657266;-149.0500099;5.865066592;225.4596678;111.9571099;14.69263885;9.756835958;33.74180298;150.2108744;-19.66200965;5.370899559;14.372399;102.2079198;579.7494487;92.8415745;916.8493831;20.50995967;-20.31527821;-7.840790929;173.5208798;130.5664807;394.5636357;943.9146237;-13.9177179;2.212256102;-24.68601862;23.54474237;33.06657188;17.67468925;31.53092654;-8.708724551;76.74540464;147.2358386;76.16477647;8.198726588;96.4335438;155.4039471;41.34399832
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne;160,1147578;60,73950391;177,0463984;43,33637109;74,85624414;85,79129884;18,93487109;48,16868555;59,15267188;71,01371094;21,27813298;37,33079102;19,65316905;95,23659766;194,7222145;86,42625;245,3190887;14,79300873;51,70749805;59,53884258;66,33794726;63,58527148;90,04073829;377,1244141;16,43149766;12,82778086;24,50980028;31,04101367;31,6844707;16,88987305;73,99286523;33,91131914;64,21603125;61,42627539;47,90312891;9,992900781;56,84905325;107,3213203;10,79766719
